,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
2023,0.468,0.84,-5.31,0.0448,0.000179,1.09e-06,0.0788,0.2,140.992
2024,0.555,0.676,-5.837,0.0314,0.00517,0.0,0.112,0.148,110.959
2025,0.544,0.934,-4.793,0.0489,0.00236,1.69e-06,0.239,0.133,114.022
2026,0.48,0.605,-6.745,0.0285,0.000157,0.0,0.121,0.175,110.057
2027,0.5,0.848,-4.223,0.0417,0.00125,0.0,0.0874,0.715,125.969
2028,0.438,0.735,-5.755,0.0361,0.00136,1.41e-05,0.0879,0.121,121.992
2029,0.573,0.672,-5.514,0.0377,0.00358,6.41e-06,0.107,0.314,120.906
2030,0.466,0.798,-5.301,0.0444,0.00405,0.0,0.128,0.158,129.892
2031,0.543,0.82,-4.802,0.0396,0.000268,0.000117,0.0672,0.2,107.976
2032,0.43,0.795,-3.862,0.0425,0.000182,9.89e-05,0.333,0.47,144.046
2033,0.298,0.57,-6.223,0.0314,0.0151,0.0,0.202,0.211,78.841
2034,0.528,0.809,-4.92,0.0398,0.0229,3.71e-06,0.0616,0.345,121.955
2035,0.468,0.841,-5.294,0.0445,0.000192,0.0,0.0789,0.218,141.002
2036,0.554,0.676,-5.838,0.0314,0.00507,0.0,0.111,0.149,110.952
2037,0.543,0.933,-4.793,0.0502,0.00241,1.74e-06,0.216,0.131,114.016
2038,0.482,0.602,-6.749,0.0286,0.000161,0.0,0.121,0.201,110.032
2039,0.313,0.633,-6.669,0.03,0.00709,7.01e-06,0.872,0.26,78.997
2040,0.306,0.845,-5.872,0.0402,0.00504,3.33e-06,0.947,0.274,124.58
2041,0.503,0.96,-5.324,0.0409,0.00235,0.000443,0.584,0.789,126.718
2042,0.467,0.307,-20.71,0.503,0.592,0.0,0.363,0.622,119.238
2043,0.262,0.948,-6.918,0.153,0.489,0.676,0.918,0.346,144.518
2044,0.269,0.948,-6.503,0.0559,0.174,0.757,0.956,0.337,143.034
2045,0.451,0.891,-7.333,0.0751,0.516,0.0276,0.917,0.547,125.114
2046,0.324,0.952,-6.969,0.0795,0.48,0.0148,0.945,0.401,131.996
2047,0.384,0.903,-6.448,0.0607,0.408,0.0709,0.893,0.415,123.894
2048,0.344,0.663,-7.243,0.0333,0.593,0.149,0.683,0.273,80.864
2049,0.161,0.955,-6.697,0.104,0.0379,0.76,0.91,0.577,168.964
2050,0.462,0.89,-6.717,0.0542,0.247,0.159,0.95,0.435,120.017
2051,0.272,0.909,-8.184,0.101,0.161,0.474,0.692,0.255,122.861
2052,0.192,0.663,-7.728,0.0382,0.364,0.267,0.904,0.242,147.436
2053,0.205,0.843,-8.581,0.0658,0.547,0.781,0.871,0.269,94.906
2054,0.413,0.94,-6.809,0.0582,0.401,0.225,0.914,0.391,122.371
2055,0.277,0.949,-7.187,0.0859,0.208,0.921,0.811,0.215,138.313
