,title,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
15294,Till The Money Runs Out (Live in Christchurch 1982),Men At Work,0.377,0.82,-13.345,0.0617,0.0672,0.859,0.432,0.465,194.116
15295,It's a Mistake (Live in Christchurch 1982),Men At Work,0.479,0.593,-13.179,0.0634,0.559,0.478,0.32,0.632,98.241
15296,Who Can It Be Now (Live in Christchurch 1982),Men At Work,0.576,0.574,-13.381,0.105,0.57,0.067,0.378,0.35,130.323
15297,Mr Entertainer (Live in Christchurch 1982),Men At Work,0.535,0.567,-16.458,0.0611,0.234,0.523,0.96,0.658,117.982
15298,Be Good Johnny (Live in Christchurch 1982),Men At Work,0.411,0.59,-14.555,0.101,0.546,0.153,0.62,0.669,144.438
15299,I Can See It In Your Eyes - Live 1982,Men At Work,0.224,0.65,-15.398,0.103,0.523,0.591,0.984,0.606,160.147
15300,People Just Love To Play With Words - Live 1982,Men At Work,0.262,0.58,-15.35,0.0564,0.326,0.123,0.964,0.612,159.599
15301,Down Under - Live 1982,Men At Work,0.589,0.641,-15.94,0.057,0.733,0.903,0.997,0.806,115.479
15302,Down By The Sea - Live 1982,Men At Work,0.248,0.486,-15.509,0.0383,0.398,0.906,0.968,0.49,134.542
15303,Touching The Untouchables - Live 1982,Men At Work,0.363,0.55,-14.92,0.0778,0.225,0.195,0.985,0.412,74.843
15304,Shintaro - Live 1982,Men At Work,0.225,0.755,-15.428,0.238,0.542,0.64,0.97,0.37,171.779
15305,Helpless Automaton - Live 1982,Men At Work,0.213,0.723,-15.99,0.12,0.601,0.766,0.792,0.564,174.133
15306,High Wire - Live 1982,Men At Work,0.434,0.716,-14.757,0.0724,0.225,0.691,0.996,0.69,122.604
15307,Who Can It Be Now? - Live 1982,Men At Work,0.43,0.599,-14.629,0.0601,0.527,0.89,0.904,0.31,132.973
15308,Mr. Entertainer - Live 1982,Men At Work,0.468,0.681,-13.898,0.0567,0.17,0.752,0.986,0.55,122.832
15309,Be Good Johnny - Live 1982,Men At Work,0.214,0.896,-10.731,0.28,0.0303,0.79,0.986,0.237,156.032
15310,No Restrictions - Live 1982,Men At Work,0.375,0.778,-11.882,0.0701,0.334,0.336,0.962,0.55,94.716
15311,I Can See It in your Eyes - Live 1982,Men At Work,0.235,0.719,-11.669,0.102,0.333,0.375,0.978,0.563,164.797
15312,People Just Love to Play with Words - Live 1982,Men At Work,0.218,0.664,-11.722,0.0481,0.0867,0.378,0.991,0.555,164.691
15313,Overkill - Live 1982,Men At Work,0.426,0.604,-12.331,0.059,0.718,0.000251,0.992,0.44,143.699
15314,Touching the Untouchables - Live 1982,Men At Work,0.35,0.674,-11.137,0.0602,0.346,0.0162,0.977,0.474,147.946
15315,Catch A Star - Live 1982,Men At Work,0.494,0.576,-11.489,0.0382,0.644,0.00731,0.997,0.699,90.294
15316,F-19 - Live 1982,Men At Work,0.472,0.806,-11.884,0.0379,0.0215,0.898,0.943,0.574,95.759
15317,Shintaro - Live 1982,Men At Work,0.297,0.783,-10.92,0.0435,0.457,0.0236,0.925,0.425,174.84
15318,High Wire - Live 1982,Men At Work,0.398,0.786,-10.629,0.0594,0.49,0.0579,0.975,0.528,122.334
15319,Down Under - Live 1982,Men At Work,0.521,0.644,-13.132,0.0747,0.657,0.211,0.986,0.589,115.099
15320,Underground - Live 1982,Men At Work,0.336,0.77,-13.323,0.115,0.692,0.0423,0.991,0.543,162.657
15321,Helpless Automaton - Live 1982,Men At Work,0.21,0.802,-13.101,0.083,0.476,0.0648,0.998,0.483,173.05
15322,Who Can It Be Now? - Live 1982,Men At Work,0.438,0.688,-11.841,0.0875,0.716,0.0279,0.405,0.195,133.178
15323,Mr. Entertainer - Live 1982,Men At Work,0.478,0.726,-12.564,0.0825,0.166,0.386,0.991,0.476,124.067
15324,It's A Mistake - Live 1982,Men At Work,0.529,0.531,-12.577,0.0542,0.664,0.00552,0.655,0.583,109.68
15325,I Like To - Live 1982,Men At Work,0.337,0.801,-13.385,0.0648,0.724,0.596,0.808,0.595,183.186
15326,Be Good Johnny - Live 1982,Men At Work,0.256,0.801,-11.786,0.21,0.533,0.0233,0.945,0.277,152.267
15327,Down Under (I Am Sam Millennium Live 2011 Radio Mix),I Am Sam vs. Men At Work,0.666,0.9,-5.462,0.0859,0.0132,0.0242,0.39,0.355,127.024
15328,Down Under (I Am Sam Millennium Live 2011 Remix),I Am Sam vs. Men At Work,0.783,0.753,-7.312,0.134,0.000961,0.0662,0.074,0.731,126.991
15329,Down Under (Ben Morris & Venuto’s Run For Cover Remix),I Am Sam vs. Men At Work,0.711,0.9,-5.738,0.048,9.06e-05,0.899,0.0384,0.852,126.992
15330,Down Under (Bombs Away Remix),I Am Sam vs. Men At Work,0.915,0.469,-6.23,0.0787,0.000411,0.3,0.0752,0.337,126.981
15331,Down Under (Che Jose Remix),I Am Sam vs. Men At Work,0.816,0.728,-7.026,0.0428,0.000351,0.852,0.567,0.66,127.0
15332,Down Under (Steve Frank & The 14th Minute Remix),I Am Sam vs. Men At Work,0.748,0.481,-13.947,0.0655,0.0144,0.893,0.0894,0.551,125.008
15333,Down Under,Men At Work,0.72,0.722,-6.733,0.0258,0.123,0.0154,0.0561,0.886,107.223
15334,Who Can It Be Now?,Men At Work,0.778,0.732,-7.331,0.0352,0.0934,0.00017,0.149,0.932,128.412
15335,I Can See It in Your Eyes,Men At Work,0.335,0.741,-6.748,0.0538,0.0751,0.000569,0.222,0.613,174.222
15336,Down By the Sea,Men At Work,0.505,0.428,-8.352,0.0315,0.393,0.279,0.0596,0.323,128.698
15337,Be Good Johnny,Men At Work,0.569,0.83,-6.283,0.0619,0.081,0.000907,0.117,0.448,150.074
15338,People Just Love to Play with Words,Men At Work,0.362,0.82,-7.002,0.0399,0.275,0.0,0.154,0.919,162.636
15339,Underground,Men At Work,0.667,0.697,-5.875,0.0317,0.103,0.00982,0.12,0.804,144.42
15340,Touching the Untouchables,Men At Work,0.495,0.74,-4.527,0.0277,0.032,9.9e-06,0.172,0.518,144.909
15341,Catch a Star,Men At Work,0.685,0.539,-6.468,0.0299,0.163,0.000514,0.0518,0.795,86.52
15342,Overkill,Men At Work,0.614,0.756,-6.574,0.0309,0.113,0.0,0.115,0.511,139.546
15343,It's a Mistake,Men At Work,0.688,0.537,-6.544,0.0272,0.17,7.29e-06,0.0848,0.919,106.265
15344,Dr. Heckyll & Mr. Jive,Men At Work,0.391,0.722,-7.626,0.0682,0.271,0.0,0.114,0.598,149.823
15345,Upstairs In My House,Men At Work,0.34,0.8,-6.158,0.0921,0.133,0.000267,0.182,0.361,159.397
15346,No Sign Of Yesterday,Men At Work,0.392,0.579,-7.601,0.0279,0.0553,3.09e-05,0.123,0.117,136.332
15347,Blue for You,Men At Work,0.617,0.711,-6.272,0.0331,0.451,1.78e-06,0.331,0.757,83.737
15348,Everything I Need,Men At Work,0.699,0.872,-4.491,0.029,0.134,0.00184,0.0973,0.961,129.605
15349,Man with Two Hearts,Men At Work,0.602,0.894,-6.891,0.0449,0.00978,9.02e-05,0.272,0.726,134.074
15350,Children of Parade,Men At Work,0.516,0.763,-6.494,0.0367,0.521,0.0,0.284,0.362,147.584
15351,Snakes and Ladders,Men At Work,0.596,0.932,-5.996,0.045,0.18,0.00021,0.403,0.782,99.696
15352,Down Under,Men At Work,0.741,0.561,-10.933,0.0274,0.118,0.0155,0.0543,0.898,107.174
15353,It's a Mistake,Men At Work,0.711,0.447,-10.241,0.0287,0.248,2.45e-06,0.0906,0.927,106.278
15354,Overkill,Men At Work,0.645,0.534,-13.02,0.0324,0.146,0.0,0.093,0.57,139.565
15355,Blue for You,Men At Work,0.652,0.578,-10.072,0.0356,0.376,0.0,0.399,0.866,83.748
15356,Children On Parade,Men At Work,0.545,0.649,-9.569,0.0386,0.592,0.0,0.119,0.418,147.578
15357,Helpless Automaton,Men At Work,0.652,0.787,-11.017,0.0314,0.0591,0.0049,0.36,0.923,87.532
15358,Everything I Need,Men At Work,0.749,0.716,-7.878,0.0266,0.103,0.00957,0.105,0.96,129.591
